feature,subject_sensitivity,family
arm_gy_q75,0.9285760957897179,stat
arm_gz_max,0.9286963855061833,stat
ankle_gz_q25,0.929099252241601,stat
chest_az_min,0.9310755028697949,stat
ankle_gz_median,0.9311653709675131,stat
ankle_acc_sma,0.9314108463978119,physics
arm_gx_q75,0.9329228429439759,stat
chest_ay_median,0.9340597214429672,stat
arm_gx_rms,0.9347249740038813,stat
ankle_gz_mean,0.9353852785724085,stat
ankle_gy_q75,0.935767018719389,stat
chest_acc_sma,0.9357732073827533,physics
chest_ay_q75,0.9359742521862744,stat
arm_ax_rms,0.9367488426904936,stat
ankle_az_median,0.938055613716334,stat
arm_gx_min,0.9383637437832587,stat
ankle_gz_q75,0.9390368727520713,stat
arm_az_q75,0.9391354244701908,stat
arm_gx_median,0.940266752989404,stat
ankle_gz_rms,0.9408965024596548,stat
arm_gz_q75,0.9423474838115578,stat
ankle_gx_q75,0.9426017301720199,stat
arm_gx_mean,0.9430828938502877,stat
arm_az_median,0.9431874497059586,stat
ankle_az_q75,0.9432351420534704,stat
arm_ax_q25,0.943619718982514,stat
arm_gz_q25,0.9441732750320327,stat
chest_ay_q25,0.9447494862310052,stat
arm_gz_rms,0.9466112263573327,stat
arm_gx_q25,0.9466461448658157,stat
arm_gz_median,0.946702536715021,stat
ankle_gy_max,0.9478589172952826,stat
arm_az_q25,0.9493327897224261,stat
ankle_az_mean,0.9494379042138233,stat
chest_az_max,0.9494432968473973,stat
arm_acc_tilt_mean,0.950459368072133,physics
arm_gz_mean,0.9506428083562847,stat
chest_ay_rms,0.9506585580036556,stat
chest_ay_mean,0.9533795307652202,stat
arm_ax_mean,0.9539553209133991,stat
ankle_gx_median,0.9545792226105934,stat
ankle_gx_rms,0.955474751344419,stat
ankle_gz_max,0.9556351987331735,stat
arm_az_mean,0.9580066687439396,stat
ankle_gx_mean,0.958719350614345,stat
chest_az_mean,0.9603113957603658,stat
ankle_ax_rms,0.9605671328511979,stat
chest_az_rms,0.9607346037494165,stat
ankle_ax_q75,0.9609356301448573,stat
chest_acc_tilt_mean,0.9614318163574218,physics
arm_gz_min,0.9632950946870799,stat
chest_az_q75,0.9640658799617143,stat
ankle_gx_q25,0.9663876092444584,stat
ankle_gx_min,0.9719329736413438,stat
ankle_ax_median,0.9754593792380769,stat
chest_az_q25,0.9807043781423598,stat
ankle_ax_q25,0.9808553072409781,stat
ankle_ax_mean,0.9891087842187026,stat
